"Majority protein IDs"	"Protein names"	"Gene names"	"Intensity q2_tcell_notact_004"	"Intensity q2_tcell_notact_007"	"Intensity q2_tcell_notact_008"	"Intensity q2_tcell_notact_009"	"Intensity q2_tcell_notact_010"	"Intensity q2_tcell_notact_011"	"Intensity q2_tcell_notact_014"	"Intensity q3_tcell_act12h_018"	"Intensity q3_tcell_act12h_019"	"Intensity q3_tcell_act12h_020"	"Intensity q3_tcell_act24h_023"	"Intensity q3_tcell_act48h_026"	"Intensity q3_tcell_act48h_027"	"Intensity q3_tcell_act72h_028"	"Intensity q3_tcell_act72h_029"	"Intensity q3_tcell_act72h_030"	"Intensity q3_tcell_act96h_032"	"Intensity q3_tcell_act96h_034"	Reverse	"Potential contaminant"
B9EGH5;Q00722-2;Q00722;H0YK35;Q9BVT6;H0YKR9;H0YNI4	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"	PLCB2	27.4966	27.5131	28.3903	27.2124	27.7914	27.5241	28.2381	26.9212	26.8526	27.5004	26.533	24.9017	24.4767	26.1335	26.6861	25.3098	25.9448	26.7694		
Q01970;Q01970-2	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"	PLCB3	24.9924	NA	NA	24.4459	25.9835	23.7906	25.0708	21.8327	NA	NA	22.4779	NA	22.9502	24.086	23.5678	23.8499	24.5318	23.9987		
O75038-3;O75038;O75038-2;B9DI82;O75038-4;B9DI81;H0Y458;O75038-5;A6NGX9	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	PLCH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.6258	27.4408	NA	27.1929	25.6958	25.4973	26.6886	27.3276	NA		
P19174;M0QX77	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	PLCG1	NA	24.4438	NA	NA	23.5636	23.6568	NA	21.4135	23.2828	23.1364	NA	NA	22.6186	23.3163	22.674	22.9895	23.9697	23.7123		
P16885;H3BPZ3;H3BQV5	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	PLCG2	22.2799	23.8861	23.8147	23.9093	23.5897	NA	21.3179	NA	NA	NA	NA	23.9737	23.4512	23.6854	24.4358	25.3823	23.2306	24.4289		
P09543-2;P09543;B4DFN6;K7ERC4;C9K0L8;K7ERZ0;K7EN66	"2,3-cyclic-nucleotide 3-phosphodiesterase"	CNP	28.5579	28.1884	27.5243	27.2961	27.6271	27.9252	28.0727	28.1512	28.0607	28.0794	28.2292	28.6611	28.67	28.3575	28.3342	28.5482	28.6804	28.5056		
B7Z6B8;Q16698;E5RFV2;E5RJG7;E5RJD2;E5RID6;H0YAW3	"2,4-dienoyl-CoA reductase, mitochondrial"	DECR1	30.6659	31.1062	30.3777	30.6411	31.0119	31.138	30.6813	30.4598	30.9004	30.5466	29.5937	29.0444	29.3975	29.46	29.436	29.6973	29.4181	29.6088		
Q05823;Q6AI46	"2-5A-dependent ribonuclease"	RNASEL;DKFZp781D08126	24.429	24.0737	23.1428	21.2764	22.8545	23.0775	23.6218	21.6817	24.4914	24.2195	23.1295	22.5697	22.4436	NA	22.2708	22.4383	20.5135	22.2937		
F8VXY3;P00973-2;P00973-4;P00973;P00973-3;H0YI20;F8VUC8;B4DWE7;F8VPW7;H0YIB8	"2-5-oligoadenylate synthase 1"	OAS1	24.1234	24.2708	23.2013	23.9462	25.2514	23.9037	NA	NA	23.4972	NA	22.6553	23.9389	25.1078	25.4605	26.3715	26.7023	24.6685	23.9702		
P29728;F8W1C5;P29728-3;F8VPI5	"2-5-oligoadenylate synthase 2"	OAS2	29.1145	29.6181	29.4711	29.2655	29.4833	29.2232	28.6584	28.5979	29.0058	29.1284	29.0218	28.7826	28.7852	28.5591	28.6916	28.7709	28.6374	28.442		
Q9Y6K5;F8VS35;F8VWK9;H0YHL3;F8VW22	"2-5-oligoadenylate synthase 3"	OAS3	29.287	29.0526	28.6551	29.8927	28.7234	28.9711	29.2135	28.5647	28.8566	29.0294	27.8852	24.1376	23.9855	26.9643	27.0504	26.7387	25.6423	27.9117		
Q15646;Q15646-2;H0YGP3	"2-5-oligoadenylate synthase-like protein"	OASL	22.579	25.0798	22.7028	NA	NA	22.149	NA	22.7454	22.2836	NA	23.2987	NA	NA	23.1618	22.9575	22.4707	23.2751	21.4319		
Q6L8Q7;Q6L8Q7-2;F6T1Q0	"2,5-phosphodiesterase 12"	PDE12	28.8111	29.2054	29.3527	28.4597	28.7998	28.5497	28.7577	28.9749	28.9448	28.6536	28.89	28.5658	28.3961	28.2901	28.1887	28.4117	28.4517	28.351		
P62333;H0YJC0;H0YJS8;H0YJX2;H0YJE9;H0YJT1	"26S protease regulatory subunit 10B"	PSMC6	30.2446	29.9946	30.2663	29.982	29.9694	29.9073	29.2366	30.4632	30.1087	29.8845	30.5517	30.7406	30.8775	30.8009	30.7797	30.8423	30.6821	30.8608		
P62191;B4DR63	"26S protease regulatory subunit 4"	PSMC1	30.349	30.5007	30.4228	30.3245	30.2844	30.1244	29.9071	30.5246	30.3286	30.2185	30.6626	30.7031	30.9275	30.8489	30.7866	30.7888	30.6885	30.8031		
P17980;E9PM69;E9PKD5;E9PMD8;E9PN50;E9PS45	"26S protease regulatory subunit 6A"	PSMC3	30.8385	30.5877	29.5598	30.606	30.6293	30.3073	30.0278	30.2907	30.4567	30.3315	30.8066	31.1128	31.0719	31.0727	31.2038	31.2503	30.8885	30.9195		
P43686;P43686-2	"26S protease regulatory subunit 6B"	PSMC4	29.6454	29.9925	29.9276	29.6828	29.7635	29.99	29.4435	30.2765	29.9688	30.3531	30.8001	31.0738	31.0666	31.0706	30.8636	31.0114	30.7329	30.934		
P35998;B7Z5E2;C9JLS9	"26S protease regulatory subunit 7"	PSMC2	30.8262	30.3478	30.8821	30.0246	30.4087	30.141	31.1616	31.1089	30.7115	30.5837	31.2661	31.4358	31.4961	31.3296	31.2113	31.2269	31.2748	31.2287		
P62195;P62195-2;J3QSA9;J3QQM1;J3KRP2;J3QLH6;J3QRW1;J3QSE0;J3QRR3;J3KTQ9	"26S protease regulatory subunit 8"	PSMC5	30.2432	30.3347	29.7087	30.6391	30.2957	30.2565	30.7397	30.4604	30.3641	30.4902	31.0087	30.9798	31.0002	30.8179	30.9503	30.9577	30.8351	30.7033		
Q99460;Q99460-2;H7C378;H7BZR6;C9J9M4;F8WCE3	"26S proteasome non-ATPase regulatory subunit 1"	PSMD1	31.5104	31.1096	31.1009	31.2684	31.368	31.3215	31.2554	30.6816	30.4343	30.6103	31.3313	31.5091	31.5822	31.4987	31.4172	31.323	31.4394	31.3624		
O75832;B1AJY7;B1AJY5;O75832-2;B1AJY6	"26S proteasome non-ATPase regulatory subunit 10"	PSMD10	27.5743	28.231	28.5706	28.9439	28.7957	29.044	28.6134	27.7799	27.9481	27.5691	27.4518	26.7483	25.8321	27.079	27.2368	27.1937	26.9849	26.8869		
O00231;O00231-2;J3QRY4;J3QS13;J3KSW3	"26S proteasome non-ATPase regulatory subunit 11"	PSMD11	30.1382	30.4882	30.0441	30.0423	30.7843	30.7122	30.3986	30.8085	30.4679	30.6519	31.5842	31.4234	31.4027	31.2952	31.4965	31.4334	31.3713	31.5191		
O00232;O00232-2;J3KTJ5;J3KSK1	"26S proteasome non-ATPase regulatory subunit 12"	PSMD12	30.2704	29.9134	29.0866	29.811	29.1525	28.932	30.6116	29.8317	29.8915	29.9184	30.4778	30.6305	30.6128	30.4118	30.2556	30.3747	29.9742	30.4255		
"Q9UNM6;Q9UNM6-2;J3KNIntenstiy q3;E9PL38;H0YD73;E9PQG3;E9PPD2;F8W8J6"	"26S proteasome non-ATPase regulatory subunit 13"	PSMD13	30.2512	30.24	30.0532	30.123	29.885	29.8193	30.0917	30.3791	30.338	30.2566	30.9807	30.9173	30.9459	30.9723	30.6892	30.9682	30.5407	30.817		
O00487;C9JW37	"26S proteasome non-ATPase regulatory subunit 14"	PSMD14	28.7863	29.0744	28.8615	29.7577	29.4233	29.099	28.822	28.9611	29.1307	29.1397	29.7268	30.0496	29.8333	29.8092	29.9344	29.729	29.7818	29.5724		
"Q13200;E7EW34;E9PCS3;C9JPC0;H7C1H2;H7C2Intenstiy q3;F8WBS8"	"26S proteasome non-ATPase regulatory subunit 2"	PSMD2	31.2988	30.7505	30.9555	31.2369	30.8089	30.9115	31.8887	30.7576	31.0941	31.0965	31.6672	31.9703	31.9818	31.8685	31.6896	31.7336	31.7634	31.6455		
O43242;B4DT72;H0YGV8;F5H8K4	"26S proteasome non-ATPase regulatory subunit 3"	PSMD3	30.5306	30.9431	30.4037	30.8164	30.9214	30.6962	30.7508	30.5038	30.4417	30.405	31.108	31.1189	31.1582	31.1216	30.9842	30.9179	30.9727	31.1336		
P55036;H0Y3Y9	"26S proteasome non-ATPase regulatory subunit 4"	PSMD4	29.0094	29.7998	29.8259	30.0388	29.9613	30.1416	30.0352	29.9609	30.1435	29.8846	30.4461	30.3777	30.27	30.3978	30.3258	30.2758	30.158	30.3079		
Q16401;Q16401-2;F2Z3J2;Q4VXH0	"26S proteasome non-ATPase regulatory subunit 5"	PSMD5	30.3006	30.6374	30.2712	29.7765	29.9944	30.0738	29.7487	30.0263	29.8934	30.4283	29.7809	29.7156	29.9937	30.0278	29.6631	29.9204	29.8011	30.2302		
Q15008;C9IZE4;E9PHI9;Q6UV22;C9J0E9;C9J7B7;H7C531	"26S proteasome non-ATPase regulatory subunit 6"	PSMD6	30.2837	29.9104	29.9319	30.6944	30.1363	30.1244	30.1649	30.4884	30.0287	30.1544	30.5892	30.252	30.4569	30.3922	30.3145	30.3927	30.1964	30.492		
P51665;B4DXI8;H3BNT7;H3BTM8;H3BQV2	"26S proteasome non-ATPase regulatory subunit 7"	PSMD7	29.4385	28.1087	28.9708	28.3685	28.9588	28.8092	29.3698	29.2731	29.0203	29.3168	29.9942	30.0678	29.9282	29.5875	29.45	29.6271	29.9188	29.6984		
P48556;K7EJR3;K7EJC1;K7ERW6;K7ENY6	"26S proteasome non-ATPase regulatory subunit 8"	PSMD8	27.4215	27.6473	28.3756	27.5308	28.1733	28.0208	28.0362	29.148	29.7847	29.2426	29.7281	29.4215	29.7983	29.4861	29.3776	29.4871	29.5046	29.6207		
O00233;J3KN29;F5H5V4;F5GX23;F8W7V8;O00233-2;F5H7X1;F5H182;O00233-3;F5H169	"26S proteasome non-ATPase regulatory subunit 9"	PSMD9	28.1515	29.0898	28.6007	28.6383	28.3825	28.4486	29.131	28.6285	28.6061	28.5748	29.0851	29.2135	29.3001	29.0696	29.1831	29.0903	29.2787	29.1528		
Q13442;F8WBW6	"28 kDa heat- and acid-stable phosphoprotein"	PDAP1	29.3733	29.6204	29.5346	29.9553	29.8548	29.3041	29.4663	29.2409	29.174	28.7398	29.2847	29.2853	29.2889	29.3386	29.7374	29.5991	29.6112	29.1487		
P82664	"28S ribosomal protein S10, mitochondrial"	MRPS10	24.7963	24.8428	25.8269	24.1544	25.8329	25.8035	25.4952	25.7384	25.1916	25.2993	26.3896	26.1066	26.7766	26.6959	26.6092	26.9607	26.7465	26.6693		
P82912-2;P82912;H0YL99;P82912-3	"28S ribosomal protein S11, mitochondrial"	MRPS11	25.0058	23.4743	25.6744	25.4729	25.6246	24.5522	25.9649	24.8581	NA	24.4041	24.8227	24.6321	24.6114	25.5234	24.9298	25.2214	24.9642	25.657		
O15235	"28S ribosomal protein S12, mitochondrial"	MRPS12	NA	21.9926	NA	24.7087	NA	NA	NA	26.1969	25.8478	24.4375	24.6649	21.187	25.5592	25.6399	25.2097	24.4277	24.8809	24.2654		
O60783	"28S ribosomal protein S14, mitochondrial"	MRPS14	23.5814	24.3984	25.2475	23.6649	24.0426	24.0322	26.6165	24.6518	24.3964	24.7028	24.0002	24.9968	25.6367	25.6572	25.7126	25.6367	25.149	25.8013		
P82914	"28S ribosomal protein S15, mitochondrial"	MRPS15	24.5755	24.5606	25.0912	25.1725	25.0447	25.1759	26.2859	26.5505	25.3648	26.4665	26.7949	27.0393	27.4839	26.7643	26.8586	26.8223	26.6755	26.8397		
Q9Y3D3;A6ND22;B4E032	"28S ribosomal protein S16, mitochondrial"	MRPS16	26.5922	NA	25.6036	25.9997	25.9197	25.5434	26.9213	25.8835	25.6608	25.7719	27.2056	26.811	27.0834	26.7442	26.7007	26.7384	26.5401	26.7427		
I3L0E3;Q9Y2R5;E9PE17;Q8N859	"28S ribosomal protein S17, mitochondrial"	MRPS17	26.5594	27.0016	27.6668	23.5249	25.9108	26.4635	24.4892	27.1604	25.8688	26.7588	27.8468	26.9016	27.0418	27.0998	26.7266	27.002	26.9891	27.7692		
Q9NVS2;Q5QPA5;Q9NVS2-2;Q9NVS2-3	"28S ribosomal protein S18a, mitochondrial"	MRPS18A	25.5222	26.0734	25.3105	26.5818	25.7803	25.877	26.1772	25.1621	25.025	25.0379	25.4604	26.0705	25.8422	25.721	25.6905	25.3601	25.5754	25.5233		
Q9Y676;Q5STN0;B4DFG6	"28S ribosomal protein S18b, mitochondrial"	MRPS18B	28.3518	26.6986	27.6682	27.131	26.6337	26.6477	23.5414	26.1795	25.6192	27.128	28.0133	27.5228	27.8572	27.6221	27.6114	27.9379	27.6019	27.6355		
Q9Y3D5;H0YAG5;D6RCM2	"28S ribosomal protein S18c, mitochondrial"	MRPS18C	NA	23.4738	26.5959	NA	NA	NA	NA	NA	23.7842	23.9052	24.1025	24.535	NA	23.5046	24.2714	24.5921	21.9173	NA		
P82921	"28S ribosomal protein S21, mitochondrial"	MRPS21	24.4326	24.3683	24.942	NA	23.9485	25.1352	25.366	22.4829	22.2782	24.245	24.5723	24.4484	25.3846	25.6974	25.3217	25.0601	24.4679	25.2739		
G5E9W7;G5E9V5;P82650;H7C5H3;H7C5L9;H7C5F2;Q9H3I1;C9J5D8	"28S ribosomal protein S22, mitochondrial"	MRPS22	27.0972	27.2614	26.5266	26.4487	27.2857	26.264	26.8167	27.5116	27.5051	27.5761	28.158	28.2921	28.5761	28.5529	28.7388	28.6417	27.9946	28.2867		
Q9Y3D9	"28S ribosomal protein S23, mitochondrial"	MRPS23	25.8536	24.0172	26.868	24.0462	24.8963	26.0041	26.8946	26.6591	26.6713	26.7378	27.9627	28.4612	28.114	27.8758	27.9848	28.0091	27.6566	28.1235		
Q96EL2	"28S ribosomal protein S24, mitochondrial"	MRPS24	26.8365	NA	25.7871	25.6669	22.9973	22.4076	23.7035	26.6524	24.5937	24.2748	24.7692	25.7212	25.2841	25.0046	25.1429	25.4265	25.6039	25.161		
P82663;E7EPW2;B4DFJ5;B4DQG6	"28S ribosomal protein S25, mitochondrial"	MRPS25	27.361	26.1676	26.9876	26.2088	25.7231	26.308	27.5026	27.0199	26.0936	26.8886	27.7327	27.5707	27.8046	27.762	27.4858	27.189	27.1319	26.8108		
Q9BYN8	"28S ribosomal protein S26, mitochondrial"	MRPS26	26.8755	24.0914	25.0625	28.0924	24.3008	25.6227	24.5045	25.8668	27.1598	25.1707	25.4054	26.1418	25.715	26.3899	26.6006	25.8613	26.2176	25.9413		
Q92552;B4DRT2;G5EA06;D6RH20;D6RJC7;E5RJ73	"28S ribosomal protein S27, mitochondrial"	MRPS27	27.2192	27.341	27.4856	27.6178	26.8651	27.2782	28.6227	27.7803	27.4219	27.2572	27.6676	28.3034	28.2638	28.2619	28.0114	27.8048	27.6481	27.7083		
Q9Y2Q9;H7C5V3;H0YAT2;E5RGC7;E5RFH3;E5RFT8;E5RK86	"28S ribosomal protein S28, mitochondrial"	MRPS28	22.3694	25.3704	20.7136	24.758	23.6104	22.4607	23.545	25.4664	25.5794	NA	25.736	26.2678	26.1526	25.9201	25.3217	25.9411	26.1894	25.4962		
P51398-2;P51398;P51398-3	"28S ribosomal protein S29, mitochondrial"	DAP3	27.8223	27.5663	27.183	28.1339	27.6979	27.6644	26.6968	27.6044	27.3289	27.7579	28.1599	28.8131	28.7853	28.4982	28.2497	28.2191	28.4936	28.4428		
Q9Y399;Q5T8A0	"28S ribosomal protein S2, mitochondrial"	MRPS2	25.041	25.7577	26.4565	25.8087	25.7927	25.9827	27.2678	27.4799	27.0595	26.8939	28.1465	27.7221	27.9407	27.8338	27.4836	26.8416	27.6889	28.0458		
Q9NP92	"28S ribosomal protein S30, mitochondrial"	MRPS30	27.8	27.6736	26.9031	27.7916	27.2987	26.6764	26.5658	26.5482	26.0143	26.805	26.1518	27.7512	27.5452	27.6668	27.5627	27.2706	27.2628	27.2135		
Q92665	"28S ribosomal protein S31, mitochondrial"	MRPS31	27.9965	28.2413	28.6621	28.8569	28.5121	29.271	28.073	28.544	26.4874	28.8197	28.7758	29.2972	28.6627	29.1043	28.7959	29.4559	29.1616	29.1906		
Q9Y291;C9JBY7	"28S ribosomal protein S33, mitochondrial"	MRPS33	26.3697	25.3281	23.8766	23.3228	23.1628	23.2374	24.9413	24.8708	25.2241	25.3586	24.9714	NA	25.6455	26.3546	26.1111	25.9169	25.6799	25.3501		
P82930;C9JJ19;H3BP88	"28S ribosomal protein S34, mitochondrial"	MRPS34	26.3247	25.7933	25.4964	27.2786	26.6338	25.7555	26.4499	26.2131	24.6458	26.106	26.4629	27.1242	27.0802	27.0129	27.5183	27.1483	26.7115	27.0483		
P82673;P82673-2;H0YG82	"28S ribosomal protein S35, mitochondrial"	MRPS35	24.4584	24.5705	25.239	24.0608	25.8291	25.1264	25.1695	26.1275	25.3745	26.0581	27.3216	26.4467	26.9404	27.0461	27.2247	27.1347	26.4275	27.301		
P82909;D6R941	"28S ribosomal protein S36, mitochondrial"	MRPS36	28.7957	27.6565	28.613	28.4684	28.7725	27.8389	28.284	27.9427	27.1886	27.9375	27.782	26.8736	26.8195	27.2259	26.5661	27.008	26.9334	27.2549		
P82675	"28S ribosomal protein S5, mitochondrial"	MRPS5	25.5708	25.8947	26.1997	25.7831	24.7768	25.9586	25.2672	26.337	27.8347	25.3211	25.8167	26.1863	26.8115	26.4048	26.2389	26.5057	26.188	27.7922		
P82932	"28S ribosomal protein S6, mitochondrial"	MRPS6	25.9183	24.9345	25.7499	26.2193	25.3606	25.2763	26.3282	26.9349	26.4268	26.3134	26.6718	26.897	26.7308	26.9516	27.1211	26.9576	26.4771	26.7591		
Q9Y2R9;J3QLS3;J3QQS1;J3QKW2;J3KSI8	"28S ribosomal protein S7, mitochondrial"	MRPS7	26.8463	26.562	26.0818	25.5603	26.8204	27.4303	23.8439	27.6922	27.4348	27.6089	27.8359	28.2285	28.3826	28.0925	27.9964	28.1092	28.003	27.9032		
P82933	"28S ribosomal protein S9, mitochondrial"	MRPS9	27.9707	27.6319	27.0348	26.8226	27.52	27.2279	26.8787	27.313	24.7554	26.8738	27.6825	27.5384	28.0802	27.2723	27.389	27.8347	27.1043	27.7516		
O75600;O75600-2;H7BZ75;C9IZC9;F2Z340	"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"	GCAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.0902	NA	21.0681	NA	23.2483	22.9249	NA	23.551	23.4768		
Q96SZ5	"2-aminoethanethiol dioxygenase"	ADO	26.6037	25.9882	27.0688	26.6672	26.5157	25.6458	27.1828	26.8218	26.4297	26.4383	25.9732	26.5332	26.4507	26.0104	26.3854	25.9276	26.1301	25.5417		
B4DWI1;Q9UJ83;B4DXI5;E9PEN4;C9J306;B3KPX4;C9JJM7;Q7Z773;F8WCH9	"2-hydroxyacyl-CoA lyase 1"	HACL1;PHYH2	NA	NA	NA	NA	NA	NA	22.3778	23.6676	28.1517	NA	24.6369	25.4801	25.1886	25.0316	23.7558	25.1016	25.0783	24.9759		
Q5HYK3;B4DP72;F8VVX6;F8VP53;F8VVW7;Q5HYK3-2;F8VVD5	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	COQ5	28.0854	26.6528	27.3462	27.5001	26.3128	27.3975	27.9528	26.3621	26.1472	25.8653	25.9475	25.4908	24.7876	25.4346	25.1787	25.3094	25.7226	24.417		
Q8N543;H3BUQ2;Q8N543-2;H3BR79;H3BUA6;H3BR02;H3BP48	"2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1"	OGFOD1	22.9603	23.194	22.3725	21.9219	24.5954	22.1851	22.3792	24.4359	24.2252	24.4523	26.5895	27.2308	27.4468	26.6517	26.8257	27.5187	26.2995	25.4872		
Q6N063;Q6N063-3;F5H890;F5H145;Q6N063-4	"2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2"	OGFOD2	NA	NA	NA	NA	NA	NA	NA	23.2738	NA	NA	NA	NA	NA	20.6238	18.9034	NA	20.0211	NA		
Q02218;E9PCR7;Q02218-3;C9J4G7	"2-oxoglutarate dehydrogenase, mitochondrial"	OGDH	30.7017	31.3147	31.5505	30.8059	31.1828	31.3607	31.5541	31.0105	30.8428	31.212	30.8818	30.3446	30.5941	30.6409	30.7204	30.8076	30.8855	30.6557		
P12694;F5H5P2;B4DP47;F5GXU9;H0YH31	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	BCKDHA	28.5203	28.7242	28.143	28.719	28.3231	29.0614	28.1494	28.071	28.3115	28.1066	27.7349	26.6521	26.3049	27.5254	27.3129	27.4188	26.7981	28.0321		
P21953;Q5T2J3	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	BCKDHB	26.6443	27.5447	27.8391	27.2204	27.3171	27.0603	26.6466	27.4281	27.6834	27.7959	26.0385	25.7101	25.2956	25.2515	24.6092	25.8676	24.9791	25.1479		
