probe,source
cg00160777,chen2013_450k
cg00160853,chen2013_450k
cg00161367,chen2013_450k
cg00161450,chen2013_450k
cg00161515,chen2013_450k
cg00162191,chen2013_450k
cg00162943,chen2013_450k
cg00162952,chen2013_450k
cg00163668,chen2013_450k
cg00164217,chen2013_450k
cg00165067,chen2013_450k
cg00166770,chen2013_450k
cg00167275,chen2013_450k
cg00167783,chen2013_450k
cg00170799,chen2013_450k
cg00171192,chen2013_450k
cg00171214,chen2013_450k
cg00171578,chen2013_450k
cg00171634,chen2013_450k
cg00173170,chen2013_450k
cg00173768,chen2013_450k
cg00174201,chen2013_450k
cg00174967,chen2013_450k
cg00175423,chen2013_450k
cg00176896,chen2013_450k
cg00177611,chen2013_450k
cg00177631,chen2013_450k
cg00178224,chen2013_450k
cg00178785,chen2013_450k
cg00181676,chen2013_450k
cg00183340,chen2013_450k
cg00183546,chen2013_450k
cg00185189,chen2013_450k
cg00185829,chen2013_450k
cg00185909,chen2013_450k
cg00187768,chen2013_450k
cg00191858,chen2013_450k
cg00192750,chen2013_450k
cg00194109,chen2013_450k
cg00194341,chen2013_450k
cg00198436,chen2013_450k
cg00198680,chen2013_450k
cg00198759,chen2013_450k
cg00198994,chen2013_450k
cg00199759,chen2013_450k
cg00201534,chen2013_450k
cg00204049,chen2013_450k
cg00204355,chen2013_450k
cg00205198,chen2013_450k
cg00205340,chen2013_450k
cg00205436,chen2013_450k
cg00206271,chen2013_450k
cg00209563,chen2013_450k
cg00209831,chen2013_450k
cg00210839,chen2013_450k
cg00210991,chen2013_450k
cg00211623,chen2013_450k
cg00211855,chen2013_450k
cg00212264,chen2013_450k
cg00213044,chen2013_450k
cg00214873,chen2013_450k
cg00215922,chen2013_450k
cg00218215,chen2013_450k
cg00218628,chen2013_450k
cg00218707,chen2013_450k
cg00219774,chen2013_450k
cg00221830,chen2013_450k
cg00223899,chen2013_450k
cg00223952,chen2013_450k
cg00224234,chen2013_450k
cg00224417,chen2013_450k
cg00226085,chen2013_450k
cg00226956,chen2013_450k
cg00226961,chen2013_450k
cg00226964,chen2013_450k
cg00228355,chen2013_450k
cg00229755,chen2013_450k
cg00231099,chen2013_450k
cg00231300,chen2013_450k
cg00232675,chen2013_450k
cg00232805,chen2013_450k
cg00234467,chen2013_450k
cg00234855,chen2013_450k
cg00237026,chen2013_450k
cg00238038,chen2013_450k
cg00238958,chen2013_450k
cg00241427,chen2013_450k
cg00241482,chen2013_450k
cg00243321,chen2013_450k
cg00244034,chen2013_450k
cg00244299,chen2013_450k
cg00244920,chen2013_450k
cg00245492,chen2013_450k
cg00246693,chen2013_450k
cg00247803,chen2013_450k
cg00247892,chen2013_450k
cg00248449,chen2013_450k
cg00252057,chen2013_450k
cg00252230,chen2013_450k
cg00252529,chen2013_450k
cg00252533,chen2013_450k
cg00252696,chen2013_450k
cg00253854,chen2013_450k
cg00254524,chen2013_450k
cg00258136,chen2013_450k
cg00259043,chen2013_450k
cg00259871,chen2013_450k
cg00260028,chen2013_450k
cg00261099,chen2013_450k
cg00263314,chen2013_450k
cg00263856,chen2013_450k
cg00264298,chen2013_450k
cg00264634,chen2013_450k
cg00266579,chen2013_450k
cg00267512,chen2013_450k
cg00271807,chen2013_450k
cg00273544,chen2013_450k
cg00275090,chen2013_450k
cg00276214,chen2013_450k
cg00277098,chen2013_450k
cg00278107,chen2013_450k
cg00279557,chen2013_450k
cg00280814,chen2013_450k
cg00282267,chen2013_450k
cg00282370,chen2013_450k
cg00283030,chen2013_450k
cg00283771,chen2013_450k
cg00286160,chen2013_450k
cg00287717,chen2013_450k
cg00288652,chen2013_450k
cg00290627,chen2013_450k
cg00292851,chen2013_450k
cg00293678,chen2013_450k
cg00294152,chen2013_450k
cg00294558,chen2013_450k
cg00294814,chen2013_450k
cg00294848,chen2013_450k
cg00294852,chen2013_450k
cg00295060,chen2013_450k
cg00297334,chen2013_450k
cg00298639,chen2013_450k
cg00301256,chen2013_450k
cg00304959,chen2013_450k
cg00305320,chen2013_450k
cg00305639,chen2013_450k
cg00305878,chen2013_450k
cg00307501,chen2013_450k
cg00308434,chen2013_450k
cg00308458,chen2013_450k
cg00308697,chen2013_450k
cg00311921,chen2013_450k
cg00311963,chen2013_450k
cg00313185,chen2013_450k
cg00314015,chen2013_450k
cg00314178,chen2013_450k
cg00314276,chen2013_450k
cg00314627,chen2013_450k
cg00314966,chen2013_450k
cg00316015,chen2013_450k
cg00316520,chen2013_450k
cg00318111,chen2013_450k
cg00318897,chen2013_450k
cg00320345,chen2013_450k
cg00320845,chen2013_450k
cg00323962,chen2013_450k
cg00324257,chen2013_450k
cg00324394,chen2013_450k
cg00325910,chen2013_450k
cg00326208,chen2013_450k
cg00329180,chen2013_450k
cg00329656,chen2013_450k
cg00330318,chen2013_450k
cg00330490,chen2013_450k
cg00330857,chen2013_450k
cg00332021,chen2013_450k
cg00333364,chen2013_450k
cg00334293,chen2013_450k
cg00335297,chen2013_450k
cg00336555,chen2013_450k
cg00337070,chen2013_450k
cg00337553,chen2013_450k
cg00338377,chen2013_450k
cg00338758,chen2013_450k
cg00339739,chen2013_450k
cg00339778,chen2013_450k
cg00340584,chen2013_450k
cg00340744,chen2013_450k
cg00341415,chen2013_450k
cg00342613,chen2013_450k
cg00343349,chen2013_450k
cg00344709,chen2013_450k
cg00345366,chen2013_450k
cg00345656,chen2013_450k
cg00345916,chen2013_450k
cg00346180,chen2013_450k
cg00346320,chen2013_450k
cg00346673,chen2013_450k
cg00348692,chen2013_450k
cg00349495,chen2013_450k
cg00349700,chen2013_450k
cg00350362,chen2013_450k
cg00350607,chen2013_450k
cg00350642,chen2013_450k
cg00351054,chen2013_450k
cg00351097,chen2013_450k
cg00351202,chen2013_450k
cg00351283,chen2013_450k
cg00353337,chen2013_450k
cg00353643,chen2013_450k
cg00353916,chen2013_450k
cg00354124,chen2013_450k
cg00356769,chen2013_450k
cg00356888,chen2013_450k
cg00357543,chen2013_450k
cg00358442,chen2013_450k
cg00358570,chen2013_450k
cg00359110,chen2013_450k
cg00359421,chen2013_450k
cg00360757,chen2013_450k
cg00362401,chen2013_450k
cg00363815,chen2013_450k
cg00364644,chen2013_450k
cg00365004,chen2013_450k
cg00366531,chen2013_450k
cg00366594,chen2013_450k
cg00367497,chen2013_450k
cg00367649,chen2013_450k
cg00368844,chen2013_450k
cg00370296,chen2013_450k
cg00370815,chen2013_450k
cg00371570,chen2013_450k
cg00371950,chen2013_450k
cg00374016,chen2013_450k
cg00375999,chen2013_450k
cg00378007,chen2013_450k
cg00378142,chen2013_450k
cg00379272,chen2013_450k
cg00379337,chen2013_450k
cg00380428,chen2013_450k
cg00380846,chen2013_450k
cg00381054,chen2013_450k
cg00381604,chen2013_450k
cg00383190,chen2013_450k
cg00388637,chen2013_450k
cg00388732,chen2013_450k
cg00388905,chen2013_450k
cg00389785,chen2013_450k
cg00390191,chen2013_450k
cg00391025,chen2013_450k
cg00391352,chen2013_450k
cg00391884,chen2013_450k
cg00394725,chen2013_450k
cg00395140,chen2013_450k
cg00396991,chen2013_450k
cg00397059,chen2013_450k
cg00397113,chen2013_450k
cg00397545,chen2013_450k
cg00398265,chen2013_450k
cg00399107,chen2013_450k
cg00399683,chen2013_450k
cg00400085,chen2013_450k
cg00400654,chen2013_450k
cg00400827,chen2013_450k
cg00401234,chen2013_450k
cg00401678,chen2013_450k
cg00401773,chen2013_450k
cg00401844,chen2013_450k
cg00402069,chen2013_450k
cg00402551,chen2013_450k
cg00402737,chen2013_450k
cg00403874,chen2013_450k
cg00405494,chen2013_450k
cg00405596,chen2013_450k
cg00405769,chen2013_450k
cg00406621,chen2013_450k
cg00406844,chen2013_450k
cg00407452,chen2013_450k
cg00408021,chen2013_450k
cg00409201,chen2013_450k
cg00410323,chen2013_450k
cg00412067,chen2013_450k
cg00413370,chen2013_450k
cg00413849,chen2013_450k
cg00413870,chen2013_450k
cg00414689,chen2013_450k
cg00414890,chen2013_450k
cg00415702,chen2013_450k
cg00415822,chen2013_450k
cg00417710,chen2013_450k
cg00417719,chen2013_450k
cg00417819,chen2013_450k
cg00418479,chen2013_450k
cg00419314,chen2013_450k
cg00419509,chen2013_450k
cg00419822,chen2013_450k
cg00420847,chen2013_450k
cg00422995,chen2013_450k
cg00423014,chen2013_450k
cg00423291,chen2013_450k
cg00423700,chen2013_450k
cg00424740,chen2013_450k
cg00427669,chen2013_450k
cg00428214,chen2013_450k
cg00428487,chen2013_450k
cg00429618,chen2013_450k
cg00431924,chen2013_450k
cg00434295,chen2013_450k
cg00437102,chen2013_450k
cg00437173,chen2013_450k
cg00437192,chen2013_450k
cg00440263,chen2013_450k
cg00440702,chen2013_450k
cg00441703,chen2013_450k
cg00441754,chen2013_450k
cg00442458,chen2013_450k
cg00444151,chen2013_450k
cg00446413,chen2013_450k
cg00447068,chen2013_450k
cg00447557,chen2013_450k
cg00448143,chen2013_450k
cg00448235,chen2013_450k
cg00448891,chen2013_450k
cg00450960,chen2013_450k
cg00451807,chen2013_450k
cg00454650,chen2013_450k
cg00454696,chen2013_450k
cg00454993,chen2013_450k
cg00455018,chen2013_450k
cg00455164,chen2013_450k
cg00455514,chen2013_450k
cg00455883,chen2013_450k
cg00455892,chen2013_450k
cg00456637,chen2013_450k
cg00457495,chen2013_450k
cg00457596,chen2013_450k
cg00458156,chen2013_450k
cg00459243,chen2013_450k
cg00459447,chen2013_450k
cg00459550,chen2013_450k
cg00459845,chen2013_450k
cg00460690,chen2013_450k
cg00460763,chen2013_450k
cg00461506,chen2013_450k
cg00462104,chen2013_450k
cg00462488,chen2013_450k
cg00463949,chen2013_450k
cg00467160,chen2013_450k
cg00468410,chen2013_450k
cg00469630,chen2013_450k
cg00470565,chen2013_450k
cg00470882,chen2013_450k
cg00470972,chen2013_450k
cg00471110,chen2013_450k
cg00471810,chen2013_450k
cg00472454,chen2013_450k
cg00472640,chen2013_450k
cg00473025,chen2013_450k
cg00473179,chen2013_450k
cg00473702,chen2013_450k
cg00474039,chen2013_450k
cg00475112,chen2013_450k
cg00475182,chen2013_450k
cg00476432,chen2013_450k
cg00476896,chen2013_450k
cg00477538,chen2013_450k
cg00477557,chen2013_450k
cg00477817,chen2013_450k
cg00479718,chen2013_450k
cg00479885,chen2013_450k
cg00480643,chen2013_450k
cg00481415,chen2013_450k
cg00483718,chen2013_450k
cg00485391,chen2013_450k
cg00487226,chen2013_450k
cg00487526,chen2013_450k
cg00488283,chen2013_450k
cg00489902,chen2013_450k
cg00490097,chen2013_450k
cg00490606,chen2013_450k
cg00492092,chen2013_450k
cg00492784,chen2013_450k
cg00492794,chen2013_450k
cg00493300,chen2013_450k
cg00495570,chen2013_450k
cg00496389,chen2013_450k
cg00496791,chen2013_450k
cg00496805,chen2013_450k
cg00498419,chen2013_450k
cg00498438,chen2013_450k
cg00499509,chen2013_450k
cg00500229,chen2013_450k
cg00501886,chen2013_450k
cg00502035,chen2013_450k
cg00502041,chen2013_450k
cg00504088,chen2013_450k
cg00504248,chen2013_450k
cg00504896,chen2013_450k
cg00506056,chen2013_450k
cg00506859,chen2013_450k
cg00508604,chen2013_450k
cg00509108,chen2013_450k
cg00512425,chen2013_450k
cg00512622,chen2013_450k
cg00512709,chen2013_450k
cg00513220,chen2013_450k
cg00514202,chen2013_450k
cg00514284,chen2013_450k
cg00514514,chen2013_450k
cg00514746,chen2013_450k
cg00514971,chen2013_450k
cg00517407,chen2013_450k
cg00517535,chen2013_450k
cg00518152,chen2013_450k
cg00518770,chen2013_450k
cg00520188,chen2013_450k
cg00522288,chen2013_450k
cg00522328,chen2013_450k
cg00523240,chen2013_450k
cg00523901,chen2013_450k
cg00524577,chen2013_450k
cg00524978,chen2013_450k
cg00525044,chen2013_450k
cg00525833,chen2013_450k
cg00526576,chen2013_450k
cg00528040,chen2013_450k
cg00531054,chen2013_450k
cg00531965,chen2013_450k
cg00532477,chen2013_450k
cg00532659,chen2013_450k
cg00532667,chen2013_450k
cg00533934,chen2013_450k
cg00533990,chen2013_450k
cg00534858,chen2013_450k
cg00535994,chen2013_450k
cg00537607,chen2013_450k
cg00538495,chen2013_450k
cg00539325,chen2013_450k
cg00541002,chen2013_450k
cg00541156,chen2013_450k
cg00541500,chen2013_450k
cg00542384,chen2013_450k
cg00543456,chen2013_450k
cg00544070,chen2013_450k
cg00546078,chen2013_450k
cg00547312,chen2013_450k
cg00547318,chen2013_450k
cg00547444,chen2013_450k
cg00547839,chen2013_450k
cg00550040,chen2013_450k
cg00551244,chen2013_450k
cg00551387,chen2013_450k
cg00551589,chen2013_450k
cg00551654,chen2013_450k
cg00552973,chen2013_450k
cg00554192,chen2013_450k
cg00554640,chen2013_450k
cg00555036,chen2013_450k
cg00555695,chen2013_450k
cg00556570,chen2013_450k
cg00556614,chen2013_450k
cg00558297,chen2013_450k
cg00561736,chen2013_450k
cg00562898,chen2013_450k
cg00563768,chen2013_450k
cg00564862,chen2013_450k
cg00566515,chen2013_450k
cg00570207,chen2013_450k
cg00572146,chen2013_450k
cg00572487,chen2013_450k
cg00572756,chen2013_450k
cg00573140,chen2013_450k
cg00573410,chen2013_450k
cg00573963,chen2013_450k
cg00574114,chen2013_450k
cg00574513,chen2013_450k
cg00574919,chen2013_450k
cg00575135,chen2013_450k
cg00576139,chen2013_450k
cg00578775,chen2013_450k
cg00579921,chen2013_450k
cg00580354,chen2013_450k
cg00583618,chen2013_450k
cg00584456,chen2013_450k
cg00584549,chen2013_450k
cg00586014,chen2013_450k
cg00586248,chen2013_450k
cg00587180,chen2013_450k
cg00587228,chen2013_450k
cg00587465,chen2013_450k
cg00588853,chen2013_450k
cg00589791,chen2013_450k
cg00591225,chen2013_450k
cg00591228,chen2013_450k
cg00592460,chen2013_450k
cg00592870,chen2013_450k
cg00592944,chen2013_450k
cg00593414,chen2013_450k
cg00593446,chen2013_450k
cg00594016,chen2013_450k
cg00594488,chen2013_450k
cg00595610,chen2013_450k
cg00596207,chen2013_450k
cg00597112,chen2013_450k
cg00597602,chen2013_450k
cg00598125,chen2013_450k
cg00599377,chen2013_450k
cg00599809,chen2013_450k
cg00600362,chen2013_450k
cg00601819,chen2013_450k
cg00603487,chen2013_450k
cg00604188,chen2013_450k
cg00604382,chen2013_450k
cg00604771,chen2013_450k
cg00605545,chen2013_450k
cg00605988,chen2013_450k
cg00606739,chen2013_450k
cg00609291,chen2013_450k
cg00609645,chen2013_450k
cg00610583,chen2013_450k
cg00611372,chen2013_450k
cg00611901,chen2013_450k
cg00612714,chen2013_450k
cg00613562,chen2013_450k
cg00614280,chen2013_450k
cg00614314,chen2013_450k
cg00615794,chen2013_450k
cg00617867,chen2013_450k
cg00618596,chen2013_450k
cg00619292,chen2013_450k
cg00619915,chen2013_450k
cg00620304,chen2013_450k
cg00620824,chen2013_450k
cg00620857,chen2013_450k
cg00621559,chen2013_450k
cg00621666,chen2013_450k
cg00622133,chen2013_450k
cg00624440,chen2013_450k
cg00624879,chen2013_450k
cg00625161,chen2013_450k
cg00625450,chen2013_450k
cg00626068,chen2013_450k
cg00629088,chen2013_450k
cg00629514,chen2013_450k
cg00629928,chen2013_450k
cg00631203,chen2013_450k
cg00631287,chen2013_450k
cg00634606,chen2013_450k
cg00634984,chen2013_450k
cg00636172,chen2013_450k
cg00636416,chen2013_450k
cg00637047,chen2013_450k
cg00637795,chen2013_450k
cg00639579,chen2013_450k
cg00640147,chen2013_450k
cg00640609,chen2013_450k
cg00640775,chen2013_450k
cg00641177,chen2013_450k
cg00642330,chen2013_450k
cg00644797,chen2013_450k
cg00644922,chen2013_450k
cg00645010,chen2013_450k
cg00645731,chen2013_450k
cg00646019,chen2013_450k
cg00646244,chen2013_450k
cg00647004,chen2013_450k
cg00648005,chen2013_450k
cg00648125,chen2013_450k
cg00649199,chen2013_450k
cg00649216,chen2013_450k
cg00651446,chen2013_450k
cg00652158,chen2013_450k
cg00653565,chen2013_450k
cg00654159,chen2013_450k
cg00655656,chen2013_450k
cg00656264,chen2013_450k
cg00656826,chen2013_450k
cg00656931,chen2013_450k
cg00657202,chen2013_450k
cg00661438,chen2013_450k
cg00662258,chen2013_450k
cg00664021,chen2013_450k
cg00664666,chen2013_450k
cg00664920,chen2013_450k
cg00665029,chen2013_450k
cg00665343,chen2013_450k
cg00665832,chen2013_450k
cg00666623,chen2013_450k
cg00666640,chen2013_450k
cg00666641,chen2013_450k
cg00667110,chen2013_450k
cg00667898,chen2013_450k
cg00668426,chen2013_450k
cg00668927,chen2013_450k
cg00669212,chen2013_450k
cg00669746,chen2013_450k
cg00673008,chen2013_450k
cg00673081,chen2013_450k
cg00673109,chen2013_450k
cg00676394,chen2013_450k
cg00677180,chen2013_450k
cg00677195,chen2013_450k
cg00677708,chen2013_450k
cg00677901,chen2013_450k
cg00678322,chen2013_450k
cg00680808,chen2013_450k
cg00681566,chen2013_450k
cg00686169,chen2013_450k
cg00687812,chen2013_450k
cg00688323,chen2013_450k
cg00688460,chen2013_450k
cg00688734,chen2013_450k
cg00688850,chen2013_450k
cg00689214,chen2013_450k
cg00689360,chen2013_450k
cg00690710,chen2013_450k
cg00690903,chen2013_450k
cg00691830,chen2013_450k
cg00692100,chen2013_450k
cg00692484,chen2013_450k
cg00693837,chen2013_450k
cg00695633,chen2013_450k
cg00697413,chen2013_450k
cg00698646,chen2013_450k
cg00698982,chen2013_450k
cg00699238,chen2013_450k
cg00699831,chen2013_450k
cg00700466,chen2013_450k
cg00702369,chen2013_450k
cg00702489,chen2013_450k
cg00702835,chen2013_450k
cg00702837,chen2013_450k
cg00702877,chen2013_450k
cg00703849,chen2013_450k
cg00704176,chen2013_450k
cg00705156,chen2013_450k
cg00705255,chen2013_450k
cg00706683,chen2013_450k
cg00710209,chen2013_450k
cg00710269,chen2013_450k
cg00710456,chen2013_450k
cg00711386,chen2013_450k
cg00711542,chen2013_450k
cg00712711,chen2013_450k
cg00713055,chen2013_450k
cg00713204,chen2013_450k
cg00713813,chen2013_450k
cg00715913,chen2013_450k
cg00716025,chen2013_450k
cg00717180,chen2013_450k
cg00718539,chen2013_450k
cg00718581,chen2013_450k
cg00720119,chen2013_450k
cg00721080,chen2013_450k
cg00721703,chen2013_450k
cg00721947,chen2013_450k
cg00723379,chen2013_450k
cg00725145,chen2013_450k
cg00725426,chen2013_450k
cg00725654,chen2013_450k
cg00725722,chen2013_450k
cg00727386,chen2013_450k
cg00727556,chen2013_450k
cg00727940,chen2013_450k
cg00728300,chen2013_450k
cg00730100,chen2013_450k
cg00731201,chen2013_450k
cg00731874,chen2013_450k
cg00732098,chen2013_450k
cg00732232,chen2013_450k
cg00733315,chen2013_450k
cg00733705,chen2013_450k
cg00734311,chen2013_450k
cg00734979,chen2013_450k
cg00735023,chen2013_450k
cg00736530,chen2013_450k
cg00736819,chen2013_450k
cg00737250,chen2013_450k
cg00738113,chen2013_450k
cg00738299,chen2013_450k
cg00738849,chen2013_450k
cg00738945,chen2013_450k
cg00741351,chen2013_450k
cg00742898,chen2013_450k
cg00744187,chen2013_450k
cg00744351,chen2013_450k
cg00744920,chen2013_450k
cg00745184,chen2013_450k
cg00745463,chen2013_450k
cg00745606,chen2013_450k
cg00747739,chen2013_450k
cg00748958,chen2013_450k
cg00750806,chen2013_450k
cg00751857,chen2013_450k
cg00752047,chen2013_450k
cg00752077,chen2013_450k
cg00753692,chen2013_450k
cg00755130,chen2013_450k
cg00755505,chen2013_450k
cg00755729,chen2013_450k
cg00756362,chen2013_450k
cg00756448,chen2013_450k
cg00756450,chen2013_450k
cg00756860,chen2013_450k
cg00758816,chen2013_450k
cg00760290,chen2013_450k
cg00760490,chen2013_450k
cg00760536,chen2013_450k
cg00760812,chen2013_450k
cg00762450,chen2013_450k
cg00763136,chen2013_450k
cg00763244,chen2013_450k
cg00764514,chen2013_450k
cg00766985,chen2013_450k
cg00767637,chen2013_450k
cg00767679,chen2013_450k
cg00768815,chen2013_450k
cg00769240,chen2013_450k
cg00769810,chen2013_450k
cg00769882,chen2013_450k
cg00770134,chen2013_450k
cg00771483,chen2013_450k
cg00772775,chen2013_450k
cg00772962,chen2013_450k
cg00773093,chen2013_450k
cg00774458,chen2013_450k
cg00774769,chen2013_450k
cg00775388,chen2013_450k
cg00775777,chen2013_450k
cg00775781,chen2013_450k
cg00776237,chen2013_450k
cg00776252,chen2013_450k
cg00779304,chen2013_450k
cg00784791,chen2013_450k
cg00786256,chen2013_450k
cg00786390,chen2013_450k
cg00786635,chen2013_450k
cg00788028,chen2013_450k
cg00788688,chen2013_450k
cg00789394,chen2013_450k
cg00789423,chen2013_450k
cg00789540,chen2013_450k
cg00790649,chen2013_450k
cg00791422,chen2013_450k
cg00793285,chen2013_450k
cg00793992,chen2013_450k
cg00794178,chen2013_450k
cg00794209,chen2013_450k
cg00795247,chen2013_450k
cg00795885,chen2013_450k
cg00799387,chen2013_450k
cg00800759,chen2013_450k
cg00800997,chen2013_450k
cg00801577,chen2013_450k
cg00802168,chen2013_450k
cg00803004,chen2013_450k
cg00803478,chen2013_450k
cg00803910,chen2013_450k
cg00804237,chen2013_450k
cg00804338,chen2013_450k
cg00804745,chen2013_450k
cg00805496,chen2013_450k
cg00805874,chen2013_450k
cg00806126,chen2013_450k
cg00806959,chen2013_450k
cg00807342,chen2013_450k
cg00807495,chen2013_450k
cg00808053,chen2013_450k
cg00808352,chen2013_450k
cg00809453,chen2013_450k
cg00812839,chen2013_450k
cg00813765,chen2013_450k
cg00814476,chen2013_450k
cg00816224,chen2013_450k
cg00817749,chen2013_450k
cg00818198,chen2013_450k
cg00819949,chen2013_450k
cg00821510,chen2013_450k
cg00822353,chen2013_450k
cg00822571,chen2013_450k
cg00824547,chen2013_450k
cg00824714,chen2013_450k
cg00825031,chen2013_450k
cg00825131,chen2013_450k
cg00825503,chen2013_450k
cg00825705,chen2013_450k
cg00826626,chen2013_450k
cg00827196,chen2013_450k
cg00827596,chen2013_450k
cg00828059,chen2013_450k
cg00828468,chen2013_450k
cg00829645,chen2013_450k
cg00831633,chen2013_450k
cg00831698,chen2013_450k
cg00831770,chen2013_450k
