"","tsne.x","tsne.y","membership","pert_iname","clinical_phase","moa","target","disease_area","indication"
"A-443644",16.6807423787303,5.47120770514531,5,NA,NA,NA,NA,NA,NA
"A2M",-17.9673401048469,-11.7964324374856,27,NA,NA,NA,NA,NA,NA
"ABAT",14.9983564802855,-23.3775167697013,17,NA,NA,NA,NA,NA,NA
"ABCB5",-12.8126355804059,-12.6745379394139,27,NA,NA,NA,NA,NA,NA
"ABCC3",-18.2288437303072,-17.4700733199818,27,NA,NA,NA,NA,NA,NA
"ABCF2",-17.8045509863625,-16.3689705189703,27,NA,NA,NA,NA,NA,NA
"ABCF3",-18.2614612223256,-15.7142215659143,27,NA,NA,NA,NA,NA,NA
"ABCG8",-3.04082166699839,-19.4663991820466,10,NA,NA,NA,NA,NA,NA
"ABHD2",8.53958521904962,-16.7704080416557,26,NA,NA,NA,NA,NA,NA
"ABHD4",-14.8868350314912,-21.0442186816154,20,NA,NA,NA,NA,NA,NA
"ABT-737",10.9596717550748,1.92318046923023,13,"ABT-737","Phase 1/Phase 2","BCL inhibitor","BCL2|BCL2L1|BCL2L2","",""
"ABT-751",10.3614396626457,-5.36476734104431,13,"ABT-751","Phase 2","tubulin polymerization inhibitor","TUBB","",""
"AC-55649",-10.5252767123884,-0.803493282061087,15,"AC-55649","Preclinical","retinoid receptor agonist","RARA|RARB","",""
"ACAA1",15.1108259178585,-22.8972470415575,17,NA,NA,NA,NA,NA,NA
"acadesine",-12.8887599156402,3.77795352971251,15,"acadesine","Phase 3","AMPK activator","","",""
"ACADM",7.56998506859055,-24.0900507143994,16,NA,NA,NA,NA,NA,NA
"ACADS",6.81738646716894,-14.754647042801,26,NA,NA,NA,NA,NA,NA
"ACADSB",-4.44183840869124,-19.7975046181952,10,NA,NA,NA,NA,NA,NA
"acarbose",-15.9402055428476,12.9980885537811,2,"acarbose","Launched","glucosidase inhibitor","AMY2A|GAA|MGAM|SI","endocrinology","diabetes mellitus"
"ACAT2",18.9894179127244,-16.7884214979926,9,NA,NA,NA,NA,NA,NA
"ACD",17.930853475523,-8.53682620604053,6,NA,NA,NA,NA,NA,NA
"acetyl-farnesyl-cysteine",6.24238034842925,26.1598070111588,12,"acetyl-farnesyl-cysteine","Launched","methyltransferase inhibitor","PPARG","dermatology","acne vulgaris (AV)"
"acetyl-geranygeranyl-cysteine",-6.60853934592991,-11.8079588012882,28,NA,NA,NA,NA,NA,NA
"acetyl-geranyl-cysteine",20.2759278043314,-19.1968286912888,9,NA,NA,NA,NA,NA,NA
"acetylcysteine",-19.1143039170627,11.409368004634,3,"acetylcysteine","Launched","mucolytic agent","ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11","gastroenterology","acetaminophen overdose|hepatic injury"
"acitretin",10.7770859268045,10.3624299139163,29,"acitretin","Launched","retinoid receptor agonist","RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3","dermatology","psoriasis"
"ACLY",8.73383230720072,-21.4514641233079,17,NA,NA,NA,NA,NA,NA
"ACTB",7.03320956402414,-23.9984163332523,16,NA,NA,NA,NA,NA,NA
"ACTR3",-11.5963676718827,-22.5021447033617,20,NA,NA,NA,NA,NA,NA
"ACVR1",0.697607274189586,-21.7784597417556,10,NA,NA,NA,NA,NA,NA
"ACY1",15.3432600178106,-10.60865532713,6,NA,NA,NA,NA,NA,NA
"acyclovir",20.7023835688238,21.0590691398805,4,"acyclovir","Launched","DNA polymerase inhibitor","PNP","infectious disease","genitial herpes|shingles|chicken pox"
"ADA",15.6927905119041,-16.7585041918446,9,NA,NA,NA,NA,NA,NA
"ADAT1",3.50734692784869,-26.4434737051185,16,NA,NA,NA,NA,NA,NA
"ADC",10.0159682784511,-26.0225583320853,17,NA,NA,NA,NA,NA,NA
"ADCK3",18.3304694903309,-10.2491632855101,6,NA,NA,NA,NA,NA,NA
"ADCY3",-2.74468395430909,-25.3313726175611,8,NA,NA,NA,NA,NA,NA
"ADCY9",17.5811646392882,-3.66647428301655,13,NA,NA,NA,NA,NA,NA
"ADH5",-5.76558142777249,-25.4630383648911,8,NA,NA,NA,NA,NA,NA
"ADI1",-11.9098909510045,-20.0430912133859,28,NA,NA,NA,NA,NA,NA
"adipiodone",8.42038385169951,33.1904691596184,12,NA,NA,NA,NA,NA,NA
"ADK",-13.3538814631809,-13.7154863236941,28,NA,NA,NA,NA,NA,NA
"ADORA2A",-11.6490882991753,-11.4959090964461,28,NA,NA,NA,NA,NA,NA
"ADORA2B",-0.678181052446113,-22.6113133935915,10,NA,NA,NA,NA,NA,NA
"ADRB2",15.5132862887591,-26.7729166915163,17,NA,NA,NA,NA,NA,NA
"ADRBK1",6.45129053040104,-25.6818214611942,16,NA,NA,NA,NA,NA,NA
"ADSL",-12.1211644043206,-16.1064375909153,28,NA,NA,NA,NA,NA,NA
"ADSS",10.1530712033341,-20.3581281500211,17,NA,NA,NA,NA,NA,NA
"AES",-7.72154298324158,-22.9954960301816,10,NA,NA,NA,NA,NA,NA
"afatinib",-2.88814612789722,6.89617046147831,11,"afatinib","Launched","EGFR inhibitor","EGFR|ERBB2|ERBB4","oncology","non-small cell lung cancer (NSCLC)"
"AFG3L2",10.0761013069942,-26.4892886215843,17,NA,NA,NA,NA,NA,NA
"AFP",-12.887828547842,-16.8003387206723,28,NA,NA,NA,NA,NA,NA
"AG-14361",16.6988730114708,7.10123365626858,5,"AG-14361","Preclinical","PARP inhibitor","PARP1","",""
"AG-370",9.73318147357756,31.6106331909149,12,NA,NA,NA,NA,NA,NA
"AG-490",10.3138716064504,1.48622338714784,13,"AG-490","Preclinical","EGFR inhibitor|JAK inhibitor","EGFR|JAK2|JAK3","",""
"AG-494",-3.80313694759616,10.5189954466254,11,NA,NA,NA,NA,NA,NA
"AG-592",3.64466485345923,-1.59994687577296,19,NA,NA,NA,NA,NA,NA
"AG-879",1.49553163276523,-0.293079584008931,19,NA,NA,NA,NA,NA,NA
"AG-957",3.09061698604091,-5.00788715727162,19,NA,NA,NA,NA,NA,NA
"AG-99",-20.2620560860897,7.58281137102784,15,NA,NA,NA,NA,NA,NA
"AGK-2",19.5601190531288,12.8204222658428,7,NA,NA,NA,NA,NA,NA
"AGL",19.0617174983032,-14.0553473833175,9,NA,NA,NA,NA,NA,NA
"AGPAT1",-8.38629129729105,-20.6930010671163,10,NA,NA,NA,NA,NA,NA
"AGPAT2",-4.70350588518119,-21.0112588653902,10,NA,NA,NA,NA,NA,NA
"AGT",-18.1985641726092,-24.8446927938305,20,NA,NA,NA,NA,NA,NA
"AGTR1",10.8829489266841,-27.1211750666027,17,NA,NA,NA,NA,NA,NA
"AHCY",-16.4866074069475,-20.1542795854505,20,NA,NA,NA,NA,NA,NA
"AICA-ribonucleotide",-13.050976529056,16.5955785889337,2,NA,NA,NA,NA,NA,NA
"AIFM1",-9.5393751292515,-13.8165939493925,28,NA,NA,NA,NA,NA,NA
"AIRE",-18.4468187884491,-15.9519901167544,27,NA,NA,NA,NA,NA,NA
"AK1",-19.3431395756146,-12.445564791486,27,NA,NA,NA,NA,NA,NA
"AK2",-2.30584475597226,-22.0603758175738,10,NA,NA,NA,NA,NA,NA
"AKAP8L",17.5494554775209,-11.1585253392508,6,NA,NA,NA,NA,NA,NA
"AKR1A1",17.0479733813143,-15.6752065761269,9,NA,NA,NA,NA,NA,NA
"AKR1B1",17.1975894924123,-15.7503790670071,9,NA,NA,NA,NA,NA,NA
"AKR1C1",10.487694777513,-22.4653975492166,17,NA,NA,NA,NA,NA,NA
"AKR1C2",-4.14814445718552,-22.3555123322253,10,NA,NA,NA,NA,NA,NA
"AKR1C3",6.41873444773912,-12.4818515425397,26,NA,NA,NA,NA,NA,NA
"AKT-inhibitor-1-2",13.6237876940534,15.6593639753266,7,NA,NA,NA,NA,NA,NA
"AKT-inhibitor-IV",6.12257521894351,-1.69838005180546,19,NA,NA,NA,NA,NA,NA
"AKT1",18.7999526304611,-14.5749189950388,9,NA,NA,NA,NA,NA,NA
"AKT2",7.31963614023164,-15.0226541280009,26,NA,NA,NA,NA,NA,NA
"AKT3",18.1001331576484,-17.7199686576975,9,NA,NA,NA,NA,NA,NA
"AKTIP",-5.85044833029881,-23.5109935327042,10,NA,NA,NA,NA,NA,NA
"Ala-Ala-Phe-CMK",16.750681972647,20.3025983005219,4,NA,NA,NA,NA,NA,NA
"alaproclate",19.7477562254527,21.8812747608483,4,"alaproclate","Phase 2","serotonin receptor antagonist","SLC6A4","",""
"albendazole",10.5260010785156,-6.21412276059921,13,"albendazole","Launched","tubulin polymerization inhibitor","TUBA1A|TUBB|TUBB4B","infectious disease","cystic hydatid disease|parenchymal neurocysticercosis"
"alclometasone",6.10476009782451,20.8395897768056,24,NA,NA,NA,NA,NA,NA
"alda-1",-25.8320118968091,7.84938360579359,21,"alda-1","Preclinical","aldehyde dehydrogenase activator","ALDH2","",""
"ALDH1A1",18.288161986512,-12.9670405952248,9,NA,NA,NA,NA,NA,NA
"ALDH1B1",-13.0623008417633,-17.0144793604184,28,NA,NA,NA,NA,NA,NA
"ALDH2",-5.72250606147747,-20.9739885468235,10,NA,NA,NA,NA,NA,NA
"ALDH3A1",-22.3480227052176,0.704567569361255,15,NA,NA,NA,NA,NA,NA
"ALDH3B1",-3.31841704565815,-21.1924829426007,10,NA,NA,NA,NA,NA,NA
"ALDH3B2",-21.9224417561663,-20.0839512930747,27,NA,NA,NA,NA,NA,NA
"ALDOA",10.2518044930417,-13.487259554133,26,NA,NA,NA,NA,NA,NA
"ALDOC",17.0334771954514,-23.4259477290012,17,NA,NA,NA,NA,NA,NA
"alfadolone",-8.62002142256737,17.0767260855769,2,NA,NA,NA,NA,NA,NA
"alfaxalone",-16.549973918656,7.86760987472975,15,"alfaxalone","Launched","chloride channel agonist|benzodiazepine receptor agonist","GABBR1","neurology/psychiatry","general anaesthetic"
"alfuzosin",-24.2254304147234,1.99253272614012,15,"alfuzosin","Launched","adrenergic receptor antagonist","ADRA1A|ADRA1B|ADRA1D|KCNH2","urology","benign prostatic hyperplasia (BPH)"
"ALG5",10.8329645963596,-24.2595768875861,17,NA,NA,NA,NA,NA,NA
"ALG9",-17.5589613201901,-14.3307073959395,27,NA,NA,NA,NA,NA,NA
"alimemazine",5.50864252528816,12.2692469963188,29,"alimemazine","Launched","histamine receptor agonist","HRH1","neurology/psychiatry","sedative"
"alisertib",-2.83440524763699,-4.70990249211456,11,"alisertib","Phase 3","Aurora kinase inhibitor","AURKA","",""
"aliskiren",4.56956251698672,26.1149454218018,12,NA,NA,NA,NA,NA,NA
"alitretinoin",-22.6009049395269,9.58538044048841,15,NA,NA,NA,NA,NA,NA
"aloisine",-1.67956654747918,-11.0694289343494,18,NA,NA,NA,NA,NA,NA
"alpha-estradiol",-22.0881188480978,12.0475118722287,3,NA,NA,NA,NA,NA,NA
"alpha-linolenic-acid",10.8613387492541,26.6084892708745,4,"alpha-linolenic-acid","Phase 3","omega 3 fatty acid stimulant","ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1","",""
"alpha-tocopherol",-20.1082001312359,11.3385166050652,3,NA,NA,NA,NA,NA,NA
"alprenolol",16.9969365934816,21.8778490847361,4,"alprenolol","Launched","adrenergic receptor antagonist","ADRB1|ADRB2|HTR1A","cardiology","angina pectoris"
"alrestatin",-1.90350548006795,27.4605444830864,1,"alrestatin","Preclinical","aldose reductase inhibitor","AKR1B1","",""
"altanserin",-20.3857302068781,14.8310466375315,3,"altanserin","Phase 2","serotonin receptor antagonist","HTR2A","",""
"altizide",12.1853424219779,27.5469839129377,4,NA,NA,NA,NA,NA,NA
"altrenogest",5.93279604137678,20.4607353671664,24,"altrenogest","Launched","progestogen hormone","PGR","endocrinology","estrus"
"altretamine",-10.4260364285044,17.4961613192726,2,"altretamine","Launched","DNA synthesis inhibitor","","oncology","ovarian cancer"
"alverine",16.8181669335365,16.8373151251919,7,"alverine","Launched","muscle relaxant","HTR1A","gastroenterology","irritable bowel syndrome|diverticular disease"
"alvespimycin",10.1110606760615,-0.62374475125843,13,"alvespimycin","Phase 2","HSP inhibitor","HSP90AA1","",""
"alvocidib",17.2405995329196,7.91776405525403,5,"alvocidib","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM","",""
"ALW-II-38-3",1.96169456545455,24.7517146625341,1,NA,NA,NA,NA,NA,NA
"ALW-II-49-7",0.386860632060105,24.3795565481763,1,NA,NA,NA,NA,NA,NA
"ALX-5407",-12.0695948849917,16.4197847645326,2,"ALX-5407","Phase 1","Glycine transporter 1 inhibitor","SLC6A9","",""
"AM-251",5.21124781178402,15.8534247152465,24,"AM-251","Preclinical","cannabinoid receptor antagonist","CNR1|GPR18|GPR55","",""
"AM-281",14.0911118741681,18.5276426465897,7,"AM-281","Preclinical","cannabinoid receptor antagonist","CNR1|CNR2|GPR55","",""
"AM-404",11.2190016196001,-0.692974449908056,13,"AM-404","Preclinical","cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist","CNR1|CNR2|FAAH|TRPV1","",""
"AM-580",6.47772225167936,3.53753268042464,14,"AM-580","Preclinical","retinoid receptor agonist","RARA","",""
"AM-630",15.6394745212854,17.439015499136,7,"AM-630","Preclinical","cannabinoid receptor antagonist","CNR1|CNR2","",""
"AM-92016",4.96049905987388,13.041355789263,24,"AM-92016","Preclinical","potassium channel blocker","GRIN1","",""
"amantadine",20.5827249026959,17.2462672548646,4,"amantadine","Launched","glutamate receptor antagonist","DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A","infectious disease|neurology/psychiatry","influenza A virus infection|Parkinson's Disease"
"ambelline",14.2909412060413,21.3368312023119,4,NA,NA,NA,NA,NA,NA
"AMBP",-17.7457498185248,-15.3086265560564,27,NA,NA,NA,NA,NA,NA
"ambroxol",-9.79187376876864,18.9479909076768,2,"ambroxol","Launched","sodium channel blocker","CYP3A4","pulmonary","bronchitis"
"amcinonide",5.84977215191129,22.9174704201093,24,"amcinonide","Launched","glucocorticoid receptor agonist","ANXA1|NR3C1","dermatology","corticosteroid-responsive dermatoses"
"AMG-9810",9.60628574710408,3.09770163203225,14,"AMG-9810","Preclinical","TRPV antagonist","TRPV1","",""
"amifostine",-19.8582319543069,11.3427836931229,3,"amifostine","Launched","reducing agent","ALPPL2|ENPP1","nephrology","renal toxicity"
"AMIGO3",8.34201439640307,-12.2075363138666,26,NA,NA,NA,NA,NA,NA
"amiloride",-16.2278515993305,12.9830588780958,2,"amiloride","Launched","sodium channel blocker","AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2","cardiology","hypertension|congestive heart failure"
"aminogenistein",17.0108250344204,25.8033333357277,4,NA,NA,NA,NA,NA,NA
"aminoglutethimide",21.1089230069829,22.220087833205,4,"aminoglutethimide","Launched","glucocorticoid receptor antagonist","CYP11A1|CYP19A1","endocrinology|oncology","Cushing's syndrome|breast cancer"
"aminomethyltransferase",-20.9572252874158,17.1543372262571,3,"aminomethyltransferase","Preclinical","nitric oxide synthase inhibitor","NOS2","",""
"aminopentamide",7.59362993144699,33.1323226680774,12,"aminopentamide","Launched","acetylcholine receptor antagonist","CHRM1","gastroenterology","acute abdominal visceral spasm|hypertrophic gastritis (GHG)|nausea"
"aminopurvalanol-a",16.0901806094897,5.17602313186107,5,"aminopurvalanol-a","Preclinical","CDK inhibitor|tyrosine kinase inhibitor","CDK1|CDK2|CDK5|CDK6","",""
"amiodarone",6.08512502062454,3.13678608755014,14,"amiodarone","Launched","potassium channel blocker","ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2","cardiology","ventricular arrhythmias"
"amisulpride",-24.1915612078041,1.98880307918919,15,"amisulpride","Launched","dopamine receptor antagonist","DRD2|DRD3|HTR2A|HTR7","neurology/psychiatry","psychosis|bipolar disorder|schizophrenia"
"amitriptyline",7.97184372501381,11.6588758411049,29,"amitriptyline","Launched","norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4","neurology/psychiatry","depression"
"amlodipine",7.23459989936895,5.09971844867604,14,"amlodipine","Launched","calcium channel blocker","CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1","cardiology","hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)"
"AMN-082",-6.22328428133507,2.59463984211848,11,"AMN-082","Preclinical","glutamate receptor modulator","GRM7","",""
"amodiaquine",10.6258279149106,17.4108121486519,7,"amodiaquine","Launched","histamine receptor agonist","HNMT","infectious disease","malaria"
"amoxapine",6.38665736627336,13.7502779087796,29,"amoxapine","Launched","norepinephrine reputake inhibitor","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4","neurology/psychiatry","depression"
"AMPD2",-14.9919672077446,-15.5442669549161,27,NA,NA,NA,NA,NA,NA
"amperozide",3.28379924499235,3.51853723382762,11,"amperozide","Launched","dopamine receptor antagonist","FAAH|HTR2A","neurology/psychiatry","psychosis"
"amsacrine",10.7258337580177,-10.253852040897,26,"amsacrine","Launched","topoisomerase inhibitor","KCNH2|TOP2A","hematologic malignancy","acute lymphoblastic leukemia (ALL)|acute lymphoblastic leukemia (ALL)"
"amthamine",-12.1071732219378,0.50617752043123,15,"amthamine","Preclinical","histamine receptor agonist","HRH2","",""
"amuvatinib",1.27781564907927,8.89564232704168,11,"amuvatinib","Phase 2","FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor","KIT|MET","",""
"amylocaine",7.22880233382351,27.6099748957605,12,NA,NA,NA,NA,NA,NA
"anabasine",7.16185998346061,30.6567909392539,12,"anabasine","Preclinical","acetylcholine receptor agonist","","",""
"anagrelide",16.1938579380522,1.50703225675053,13,"anagrelide","Launched","phosphodiesterase inhibitor","PDE3A","hematology|hematologic malignancy","thrombocythemia|myeloproliferative neoplasms"
"anandamide",-14.1173187610148,16.555720201515,2,"anandamide","Phase 2","cannabinoid receptor agonist","CACNA1G|CACNA1H|CACNA1I|CNR1|CNR2|GLRA1|GPR18|GPR55|KCNA2|KCNK3|KCNK9|TRPM8|TRPV1","",""
"ANAPC5",19.3446914035426,-17.4478301911664,9,NA,NA,NA,NA,NA,NA
"andarine",-7.3929910161501,4.92635816962672,11,"andarine","Phase 1","androgen receptor modulator","AR","",""
"androsta-1,4-dien-3,17-dione",12.6146843775662,17.8833972805739,7,NA,NA,NA,NA,NA,NA
"androstanol",2.10896154169616,-11.7593935309443,18,NA,NA,NA,NA,NA,NA
"androstenedione",-1.16543038605791,14.6086232852014,24,NA,NA,NA,NA,NA,NA
"androstenol",14.0391275569088,-0.509302112517367,13,NA,NA,NA,NA,NA,NA
"ANG",-19.2286545110412,-12.1533184815911,27,NA,NA,NA,NA,NA,NA
"angiogenesis-inhibitor",0.106031823599684,-11.0281989502479,18,NA,NA,NA,NA,NA,NA
"ANGPT1",-18.6055110317309,-11.7512990873358,27,NA,NA,NA,NA,NA,NA
"aniracetam",-12.1786862769133,11.2165034688605,2,"aniracetam","Launched","glutamate receptor agonist","DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A","",""
"anisomycin",6.06167447062091,-7.10327534823638,19,"anisomycin","Preclinical","DNA synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1","",""
"ANKRD10",10.7616827992658,-21.2029246718601,17,NA,NA,NA,NA,NA,NA
"ANKRD49",17.6165321497348,-12.3677322487336,9,NA,NA,NA,NA,NA,NA
"ANO10",-2.2753261271263,-27.0766001524689,8,NA,NA,NA,NA,NA,NA
"ANPEP",10.1757894435075,-13.2111690832116,26,NA,NA,NA,NA,NA,NA
"anpirtoline",3.6433950054971,26.7208210147792,12,"anpirtoline","Phase 1","serotonin receptor agonist","HTR1B","",""
"antimycin-a",7.46885364873195,1.20888315631022,14,"antimycin-a","Preclinical","ATP synthase inhibitor","CYCS","",""
"ANXA1",-18.3011714718567,-17.0961845268698,27,NA,NA,NA,NA,NA,NA
"ANXA2",17.9234478879614,-15.3123550936058,9,NA,NA,NA,NA,NA,NA
"ANXA5",17.2622798738211,-24.6644335750216,17,NA,NA,NA,NA,NA,NA
"ANXA7",10.3504278166716,-20.7351853929789,17,NA,NA,NA,NA,NA,NA
"AOC3",15.7427501968576,-14.8697032790194,9,NA,NA,NA,NA,NA,NA
"AP1S2",6.84925140333744,-24.1990623879395,16,NA,NA,NA,NA,NA,NA
"AP2M1",10.1323160327421,-27.2703173003388,17,NA,NA,NA,NA,NA,NA
"apafant",20.3050357408744,21.0527095430762,4,"apafant","Phase 3","platelet activating factor receptor antagonist","PTAFR","",""
"APBB2",-23.3255203682044,-11.160923461265,22,NA,NA,NA,NA,NA,NA
"APEH",18.4817417566254,-17.1604544093638,9,NA,NA,NA,NA,NA,NA
"APEX1",10.8397197607456,-28.0076675515169,17,NA,NA,NA,NA,NA,NA
"APHA-compound-8",3.07852907348039,15.9080564411065,24,NA,NA,NA,NA,NA,NA
"apicidin",10.7983892836093,7.70741177680134,25,NA,NA,NA,NA,NA,NA
"apigenin",15.7521636636998,5.90151955330433,5,"apigenin","Preclinical","casein kinase inhibitor|cell proliferation inhibitor","AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1","",""
"APO-866",4.73875732463717,27.6318824393449,12,NA,NA,NA,NA,NA,NA
"APOA1",-9.80354208840894,-14.2554872937213,28,NA,NA,NA,NA,NA,NA
"APOA2",-7.1281228319607,-20.9540880419189,10,NA,NA,NA,NA,NA,NA
"APOBEC3H",-12.1501564682485,-15.912629165068,28,NA,NA,NA,NA,NA,NA
"APOC2",-7.56926228068749,-21.1678383777044,10,NA,NA,NA,NA,NA,NA
"APOC3",5.09381668936504,-25.0874916187165,16,NA,NA,NA,NA,NA,NA
"APOE",-18.0541660889146,-10.3345636133571,27,NA,NA,NA,NA,NA,NA
"APOH",15.3431518975305,-14.6338792485589,9,NA,NA,NA,NA,NA,NA
"APOM",-5.13740327943764,-21.8054482366477,10,NA,NA,NA,NA,NA,NA
"apoptosis-activator-II",8.39042714349749,32.0278328568878,12,"apoptosis-activator-II","Preclinical","carboxylesterase inhibitor","BCHE|CES1","",""
"aprepitant",4.99132200744279,18.4751875122508,24,"aprepitant","Launched","tachykinin antagonist","TACR1","gastroenterology","nausea|vomiting"
"APRT",15.8854565389882,-15.5332585008716,9,NA,NA,NA,NA,NA,NA
"AQ-RA741",22.2931284821049,14.5475114632697,7,"AQ-RA741","Preclinical","acetylcholine receptor antagonist","CHRM2","",""
"AR",0.94873160050009,-25.802036168796,16,NA,NA,NA,NA,NA,NA
"AR-A014418",13.3010327500937,-6.06994188867701,13,"AR-A014418","Preclinical","glycogen synthase kinase inhibitor","GSK3B","",""
"AR-C133057XX",-6.32900636401802,17.0948337839897,2,NA,NA,NA,NA,NA,NA
"arachidonamide",18.6760071975854,19.3970916266138,4,NA,NA,NA,NA,NA,NA
"arachidonyl-trifluoro-methane",5.17553612465595,-2.86879313469789,19,NA,NA,NA,NA,NA,NA
"ARAF",-13.2914645049482,-16.6397369848638,28,NA,NA,NA,NA,NA,NA
