Package	Version	License
IntNMF	1.3.0	GPL-2
irlba	2.3.5.1	GPL-3
isva	1.9	GPL-2
jsonlite	2.0.0	MIT + file LICENSE
KEGG.db	3.2.4	file LICENSE
lazyeval	0.2.2	GPL-3
limma	3.58.1	GPL (>=2)
magrittr	2.0.3	MIT + file LICENSE
markdown	2.0	MIT + file LICENSE
Matrix	1.6-5	GPL (>= 2) | file LICENCE
matrixStats	1.5.0	Artistic-2.0
matrixTests	0.2.3	GPL-2
metap	1.12	GPL-2
methods	4.3.3	Part of R 4.3.3
microbenchmark	1.5.0	BSD_2_clause + file LICENSE
miniUI	0.1.2	GPL-3
missForest	1.5	GPL (>= 2)
mixOmics	6.26.0	GPL (>= 2)
MOFA2	1.12.1	file LICENSE
MOFAdata	1.18.0	LGPL-3
msa	1.34.0	GPL (>= 2)
msImpute	1.12.0	GPL (>=2)
MSnbase	2.28.1	Artistic-2.0
MultiAssayExperiment	1.28.0	Artistic-2.0
nipalsMCIA	1.0.0	GPL-3
NNLM	0.4.4	BSD_2_clause + file LICENSE
openxlsx	4.2.8	MIT + file LICENSE
org.Hs.eg.db	3.21.0	Artistic-2.0
org.Mm.eg.db	3.21.0	Artistic-2.0
org.Pf.plasmo.db	3.14.0	Artistic-2.0
org.Rn.eg.db	3.21.0	Artistic-2.0
orthogene	1.8.0	GPL-3
pairsD3	0.1.3	GPL (>= 3)
pamr	1.57	GPL-2
parallel	4.3.3	Part of R 4.3.3
partykit	1.2-24	GPL-2 | GPL-3
patchwork	1.3.1	MIT + file LICENSE
pcaMethods	1.94.0	GPL (>= 3)
PCSF	0.99.1	MIT + file LICENSE
plotly	4.11.0	MIT + file LICENSE
plotrix	3.8-4	GPL (>= 2)
plsRcox	1.7.7	GPL-3
png	0.1-8	GPL-2 | GPL-3
ppcor	1.1	GPL-2
processx	3.8.6	MIT + file LICENSE
promises	1.3.3	MIT + file LICENSE
psych	2.5.6	GPL (>= 2)
purrr	1.0.4	MIT + file LICENSE
qgraph	1.9.8	GPL-2
qlcMatrix	0.9.8	GPL-3
R6	2.6.1	MIT + file LICENSE
randomForest	4.7-1.2	GPL (>= 2)
randomForestSRC	3.4.1	GPL (>= 3)
RColorBrewer	1.1-3	Apache License 2.0
RcppML	0.3.7	GPL (>= 2)
recount	1.28.0	Artistic-2.0
RefMet	1.0.0	MIT + file LICENSE
reshape2	1.4.4	MIT + file LICENSE
reticulate	1.42.0	Apache License 2.0
Rfast	2.1.5.1	GPL (>= 2.0)
RGCCA	3.0.3	GPL-3
rgeolocate	1.4.2	Apache License (== 2.0)
rhdf5	2.46.1	Artistic-2.0
rlang	1.1.6	MIT + file LICENSE
rliger	2.2.0	GPL-3
rpart	4.1.24	GPL-2 | GPL-3
rpart.plot	3.1.2	GPL-3
RSQLite	2.4.1	LGPL (>= 2.1)
Rtsne	0.17	file LICENSE
ruv	0.9.7.1	GPL
RUVSeq	1.36.0	Artistic-2.0
rworldmap	1.3-8	GPL (>= 2)
SBGNview	1.16.0	AGPL-3
scales	1.4.0	MIT + file LICENSE
scatterD3	1.0.1	GPL (>= 3)
scran	1.30.2	GPL-3
Seurat	5.3.0	MIT + file LICENSE
sever	0.0.7	MIT + file LICENSE
shiny	1.11.0	GPL-3 | file LICENSE
shiny.i18n	0.3.0	MIT + file LICENSE
shinyalert	3.1.0	MIT + file LICENSE
shinybrowser	1.0.0	MIT + file LICENSE
shinyBS	0.61.1	GPL-3
shinybusy	0.3.3	GPL-3
shinycssloaders	1.1.0	MIT + file LICENSE
shinydashboardPlus	2.0.5	GPL (>= 2) | file LICENSE
shinyjqui	0.4.1	MIT + file LICENSE
shinyjs	2.1.0	MIT + file LICENSE
shinyvalidate	0.1.3	MIT + file LICENSE
shinyWidgets	0.9.0	GPL-3
SILGGM	1.0.0	GPL (>= 2)
SingleR	2.4.1	GPL-3 + file LICENSE
singscore	1.22.0	GPL-3
SNFtool	2.3.1	GPL
sodium	1.4.0	MIT + file LICENSE
sortable	0.5.0	MIT + file LICENSE
sparseMatrixStats	1.14.0	MIT + file LICENSE
splines	4.3.3	Part of R 4.3.3
stats	4.3.3	Part of R 4.3.3
stringr	1.5.1	MIT + file LICENSE
SummarizedExperiment	1.32.0	Artistic-2.0
SuperCell	1.0.1	GPL-3
survival	3.8-3	LGPL (>= 2)
sva	3.50.0	Artistic-2.0
svglite	2.2.1	GPL (>= 2)
svgPanZoom	0.3.4	MIT + file LICENSE
tidyr	1.3.1	MIT + file LICENSE
TileDBArray	1.12.0	MIT + file LICENSE
tools	4.3.3	Part of R 4.3.3
torch	0.15.0	MIT + file LICENSE
umap	0.2.10.0	MIT + file LICENSE
utils	4.3.3	Part of R 4.3.3
uwot	0.2.3	GPL (>= 3)
vioplot	0.5.1	BSD_3_clause + file LICENSE
viridis	0.6.5	MIT + file LICENSE
visNetwork	2.1.2	MIT + file LICENSE
waiter	0.2.5	MIT + file LICENSE
webshot2	0.1.2	MIT + file LICENSE
WGCNA	1.73	GPL (>= 2)
withr	3.0.2	MIT + file LICENSE
wordcloud	2.6	LGPL-2.1
xfun	0.52	MIT + file LICENSE
xgboost	1.7.11.1	Apache License (== 2.0) | file LICENSE
xml2	1.3.8	MIT + file LICENSE
yaml	2.3.10	BSD_3_clause + file LICENSE
zip	2.3.3	MIT + file LICENSE
